lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
7,0,10,4,0,0,1,10,8,0,6,0,9,46.832001,20.095301
8,0,6,8,1,2,1,10,8,0,6,0,5,37.969501,5.0099998
8,0,8,8,1,1,1,8,8,0,6,0,5,45.952499,8.4200001
10,1,8,9,0,6,0,10,9,0,4,0,1,18.049999,11.9333
10,0,1,10,1,5,0,10,8,0,8,0,5,18.8228,35.376701
8,0,10,4,1,1,0,10,8,0,5,0,5,13.385201,25.32
8,0,8,5,1,3,1,10,5,0,7,0,1,22.188801,22.872
9,1,8,7,1,3,0,1,4,0,7,0,5,28.983,22.543301
1,1,7,6,1,2,0,9,1,0,7,0,2,15.876301,31.3333
1,0,7,7,1,4,0,9,4,0,5,0,4,20.945799,31.3333
8,1,8,6,1,2,0,9,6,0,7,0,3,39.070801,18.119999
8,0,6,6,1,4,1,10,5,0,5,0,1,32.550003,27.82
8,1,8,6,1,0,1,10,1,0,8,0,3,26.8971,27.82
8,1,8,8,0,0,1,10,6,0,6,0,4,23.639999,21.633301
9,0,8,5,0,3,1,8,10,1,8,0,5,31.966702,28.8333
10,1,9,2,1,5,1,9,9,0,8,0,1,15.299999,28.8333
5,0,1,2,1,4,1,10,1,1,1,1,5,27.8346,27.82
5,0,9,8,1,6,1,10,1,0,1,0,5,28.3958,21.633301
1,0,5,8,1,2,1,10,7,0,3,0,6,18.202499,18.5
7,0,8,8,1,1,1,9,1,0,7,0,7,33.676903,28.038702
10,0,10,9,0,0,1,9,2,0,6,0,5,7.9478002,25.751999
5,0,8,6,1,2,1,10,7,0,5,0,5,11.3138,24.213999
9,0,8,5,1,2,1,10,8,0,6,0,5,16.1243,8.4200001
1,0,2,8,1,2,1,10,1,0,1,0,6,22.362501,38.43
7,0,7,3,0,0,1,6,7,0,6,0,5,25.7115,39.4953
3,0,7,3,1,2,1,6,6,0,5,0,5,46.007698,35.02
7,0,7,2,1,3,1,6,7,1,6,1,1,42.378201,34.743301
8,1,8,1,1,3,1,9,7,1,8,1,5,30.522099,24.41
3,0,3,5,1,2,1,7,8,1,4,1,5,44.327499,27.82
3,0,4,4,1,1,1,4,8,1,4,1,1,31.855402,36.362
3,0,4,3,0,0,1,3,8,1,3,1,5,49.294899,27.82
2,0,7,7,0,0,1,9,2,1,4,1,2,28.958801,24.41
2,0,5,8,0,0,0,9,9,1,3,0,1,52.011402,31.23
5,0,3,7,1,1,0,10,10,0,3,0,9,38.178101,18.119999
3,0,4,6,1,1,0,9,10,1,2,1,2,36.7948,37.323997
3,0,4,6,1,0,0,10,9,1,4,1,5,43.941601,25.32
1,0,9,8,1,0,1,10,1,1,1,1,3,40.160797,40.837299
10,0,8,8,0,0,1,10,4,0,1,0,1,23.639999,42.024002
1,0,1,1,0,0,1,10,5,1,1,1,5,43.666,31.23
1,0,1,1,1,3,0,10,5,1,1,1,7,24.052801,18.119999
7,0,8,8,1,2,1,2,2,1,4,1,3,61.174999,52.553303
3,0,7,2,1,3,1,7,10,0,7,0,1,26.512199,34.743301
1,0,6,8,1,2,1,10,9,1,2,1,6,13.770201,32.952
1,0,8,8,1,3,0,10,6,0,3,0,9,22.260199,36.362
1,0,1,8,1,3,0,10,6,0,1,0,1,31.431698,23.252001
6,0,3,3,0,0,1,8,2,1,2,1,2,63.094799,35.02
4,0,6,4,1,2,1,6,2,1,3,1,9,54.878201,36.362
1,0,6,5,1,0,0,7,4,1,6,1,5,50.515003,35.02
3,0,3,4,1,3,1,3,3,0,3,0,2,64.5448,27.82
3,0,3,4,1,2,0,10,7,0,5,0,9,55.654198,24.41
7,0,7,8,0,0,0,7,6,0,5,0,3,63.195801,46.591999
1,0,8,3,1,2,1,10,1,0,1,0,5,32.617302,31.23
6,0,7,8,1,0,1,9,1,0,3,0,1,16.5945,27.82
3,0,3,6,1,3,1,2,8,1,4,1,5,40.961502,31.23
8,0,5,4,0,0,1,10,3,0,7,1,9,25.6542,63.215298
8,0,8,5,0,0,0,10,1,0,4,1,5,26.530298,16.4667
2,0,4,5,0,0,1,10,6,1,3,0,5,48.494198,25.32
5,0,7,6,0,0,1,10,4,0,2,1,8,27.4667,31.23
10,1,7,7,0,2,0,8,3,0,1,0,1,18.626299,1.6
8,1,7,6,0,3,0,7,3,0,1,0,1,18.626299,11.3
8,1,8,6,1,3,0,7,6,1,1,1,3,21.9923,11.3
10,0,8,8,1,3,0,8,3,0,1,0,1,22.251301,1.6
